Month ,1st Avenue Sales,2nd Avenue Cash,Maryland Sales,Maryland Cash,Ogudu Sales,Ogudu Cash,4th Avenue Sales,5th Avenue Cash,Marina Sales,Marina Cash,Yaba Sales,Yaba Cash,Victoria Island Sales,Victoria Island Cash,Lekki 1 Sales,Lekki 2 Cash,Ikosi Ketu Sales,Ikosi Ketu Cash,Chevron Sales,Chevron Cash,Abuja Sales,Abuja Cash
41275,4418253.56,3889895,3456562.3,3173755,1898188.25,1735210,1206761.2,779140,630519.25,558430,235640,389680,0,0,0,0,0,0,0,0,0,0
41306,4124033,4442853,3517797,3576122,1887387,1921310,876679,931505,601766,599285,319470,271460,0,0,0,0,0,0,0,0,0,0
41334,5118829,4890255,3897377,3814350,2035641,2003000,1208961,1141530,493573,413010,362865,277845,61000,0,0,0,0,0,0,0,0,0
41365,4147598,4212945,3924879,3532344,2052071,1936735,1119915,797040,617332,580585,446520,450725,423936,324145,0,,0,0,0,0,0,0
41395,4454240,4332090,4378111,4490068,2273781,2217925,933547,866500,671446,588935,251375,324785,632491,456075,0,0,0,0,0,0,0,0
41426,4078759,4112210,4149963,4266311,2064335,2110020,1049374,1179630,564975,703925,244143,240550,658381,642138,248604,118200,0,0,0,0,0,0
41456,4572160,4478615,4319339,4246575,2448824,2302507,1358230,1157710,765556,868860,242337,252331,928154,944272,463445,396040,0,0,0,0,0,0
41487,4445035.57,4346305,4593448.97,4462413,2069782.5,2271270,1216354.25,1144135,620632.75,677870,330720,225545,1032231.5,984518,751191,586905,0,0,0,0,0,0
41518,3965248.63,3933224,4412698.57,4478956,2232538.75,2028725,1145225.75,1226070,555076.75,491030,274130,269125,1020201.5,947190,617089.75,605670,0,0,0,0,0,0
41548,4597712.01,4340985,4311655.48,4070368,2178059.75,2258200,1127862.25,1068150,696951,635965,313520,282075,1020406,983742,819499.45,783702,0,0,0,0,0,0
41579,4212365.14,4238950,4837443.88,4599823,2275869.75,2252660,1252326.63,1277995,585899.75,599070,308615,378780,1183925.25,994520,958715,821677,0,0,0,0,534166.97,449830
41609,4590936.44,5109489,4669589.91,5068659,2213719,2468370,1057007.5,1133745,839480,682074.46,305139,272210,1416507.25,1395027,1058800.1,1016826,0,0,0,0,852250.1,667625.5
41640,4645256.57,3811642,4812716.36,3875978,2089503.75,1721790,1028752.88,794530,789334.5,816980,386635,350272,1491706.15,1339525,1308981.28,1191326,0,0,0,0,1054512.32,855030
41671,3937194.06,4413623,4237364.15,4755761,2004680.75,2176228,786028.49,934205,531904.5,496900,263803,322687,1163406.5,1453998,1184668.72,1261525,0,0,0,0,1055058.13,1093630.25
41699,4228462.25,4085518.37,4798491.89,4596285.65,2191244.5,2214188,964858,1051330,730368.25,894630,429420,348090,1446592.3,1433094,1641893.5,1301146,0,0,0,0,1301996.81,1085744.28
41730,3874827,4047273,4623775.5,4552762,2154672.5,2181115,913784,926587,623964.25,663857,460461,418604,1672065.5,1518250,1478791.63,1708475,0,0,0,0,1350807.32,1437397.4
41760,4591424.38,4520634,4709690.01,4662205,2307580,2200310,1001196,988842,716527.75,672923,412860,385810,1453471.5,1485622,1651744.88,1232552,0,0,0,0,1512125.61,1468029
41791,3558166.06,3688922,4282504.71,4008495,2017900.75,2022610,986173.25,893311,647353.25,572850,363399,367019,1626796.4,1464011,1358871.9,1264527,70621,17942,0,0,1803781.03,1677883
41821,4467828.88,4358864,5352222.03,5111087,2333687.5,2334088,1054634,1045347,948577.59,923949,298529,383569,1796610,1772057,1766818.75,1506344,309446,294125,0,0,1857824.75,1798185
41852,3856295.01,3942789,4656035.9,4688728,2189635,2131436,1056342.25,1081390,812879.25,812040,455796,414061,1690424.15,1716994,1379661.25,1475030,284370,237920,305244,279120,1823134.44,1816471
41883,3678398.64,3634260,4580594.09,4479790,2479617.5,2379590,1057205.25,1011820.75,892030.5,888145,337080,338066,1502144.5,1551584,1410473.55,1334041,293705,271205,348798,310180,2390887.73,2048983.21
41913,3985929,3563115,5125154,4329050,2661090,2127762,1102615,1023633,796861,750840,387052,395826,1836638,1507921,1832608,1720685,514481,484298,418889,362715,2097917.46,2216578
41944,4200834,4223075,4877618,4994701,2434231,2699587,1023943,1063703,819218,874705,365166,369834,1720559,1991710,1716275,1686677,347964,269671,506681,465318,2458234.94,2369398
41974,4596939,4815101,5729831,5198682,2817983,2626324,1294283,1352816,665096,727895,470093,401099,2230633,2277269,2043511,2129396,435301,529975,675430,641213,2648364.74,2685717
42005,5115848,4329346,5044888,4929801,2546929,2670124,1171412,975882,615342,539660,509677,417933,2334664,2291986,1893687,1774234,430422,372174,709403,713215,3096195.85,2779825
42036,4023229,4301299,4298673,4773162,2516161,2516131,1134111,1080914,782952,707820,415344,502858,1736625,1900061,1566032,1637818,399347,395158,734092,728663,3124007.3,3564172
42064,3772471,3883920,4274101,4185983,2350236,2127917,1045521,1056605,714378,689240,383610,422809,1883507,1772937,1511294,1523734,301947,369518,936254,820806,3181660,3227539
42095,4002557,3768729,4472032,4644112,2235401,2325674,1012979,902675,777645,791796,394176,395731,2011173,1778630,1606403,1511991,362146,270369,795143,676304,3146520,3134120
42125,4204154,3982609,5121928,4836184,2278678,2341720,964831,1062540,709523,803810,433158,395117,1791957,1881636,1954997,1984648,378186,407441,943491,881798,3711631,3273504
42156,3739286,3714886,5102624,4773538,2698185,2160986,1067779,1157707,819873,741815,405373,421745,2382825,2254508,1888973,1762395,0,0,1032293,915924,3890540,3734171
42186,3613020,4022915,5343542,5312061,2791824,2815665.86,1027755,889794,901612,926923,514344,451637,2302205,2312702,1848122,1621171,0,0,1253457,1091106,4406344,3929067
42217,3936762,3182764,5067707,5074689,2511717,2110779,922846,1108984,727278,747385,476810,463455,2748699,2658078.9,1825165,2219791,0,0,1055141,1002334,4000995,3998289
42248,2722474,2634873,3235582,3171787,2329757,2206527,598683,626696,558339,465820,405433,442570,1824443,1913495,1180639,1139332,0,0,738586,719648,2418105,2077287
