REGION,ISO,COUNTRY,INDICATOR,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,DZA,Algeria,Real GDP,40781.73553,41067.20768,42902.38578,43840.3657,46409.61504,47796.19405,52486.09363,58440.22702,60560.87727,71653.50933,76547.3176,67249.0819,52975.47446,66963.60975,70470.839,75160.73859,71531.16413,78219.36876,87354.47751,95714.7333,105298.4412,96326.45933,116554.2002,120346.9016,127687.614,136781.941,145794.7045,159007.9868,179398.8546,195548.4219,199177.9964,204194.1498,217285.0869,228540.8459,241183.184,253743.9585,251174.7092,249421.0945,244201.0324,252438.943,248442.3329,245461.0249,249388.4013,244146.2571,241948.9408,251259.136,260806.9832,263675.86,277123.3289,285991.2754,296858.9438,305764.7122,322887.536,346135.4386,361019.2625,382319.399,388757.6577,401870.4535,411354.5962,418067.9032,433185.2385,445747.6105,460903.0292,473808.314,491813.03,510010.1121,526330.4357,533699.0618,540103.4505,544424.2781,517747.4885,533279.9131,549278.3105
Africa,DZA,Algeria,Nominal GDP,4508.67099,4862.070476,5167.164659,5344.055349,5709.612005,5979.554728,6790.037086,7811.178975,8278.732404,9929.355838,10752.30063,9546.774994,7612.054945,9732.350203,10398.33117,11293.532,11049.22342,12432.73602,14475.9896,16639.24403,19271.1794,18522.82574,23381.29734,25465.09026,29449.66608,34469.25875,38762.46005,44902.20783,54223.74283,64008.66822,71086.00422,79771.91039,90130.59793,98512.62097,107712.7522,116906.1711,118052.9901,120127.6302,121762.238,130804.3155,133552.3397,136411.9363,141752.9723,142062.7238,143790.4976,152454.7227,161145.4723,165727.4352,176140.0099,184338.1196,195678.0696,206089.0959,221021.8341,241611.8507,258765.7687,282626.0305,296252.9363,314522.0327,328119.4941,335611.7892,351926.7805,369656.6673,389374.7583,407286.079,430668.2104,451071.2599,470170.8035,485801.4381,503376.1606,516479.3292,497091.4613,533279.9131,579518.5176
Africa,DZA,Algeria,Employment,1744.004223,1758.332494,1776.72963,1802.861995,1795.539359,1815.775714,1832.120164,1847.183546,1861.314911,1873.996061,1885.940932,1891.107554,1839.38325,1852.878133,1875.82261,1898.465651,1923.145626,1952.625869,1974.370742,1993.377608,2013.325127,2073.98144,2086.394296,2088.463105,2153.630602,2293.275238,2422.575826,2417.403803,2875.645088,3120.799004,3253.202807,3380.434586,3593.521956,3757.992304,3887.292893,4017.627886,4148.997284,4280.366682,4425.183341,4570,4695,4852,4968,5042,5154,5436,5625,5815,5993,6077,6240,6597,6900,6684.056,7798.412,8044.22,8868.804,8594.243,9145,9472,9735,9599,10170,10788,10239,10594,10845,10858,11001,11140.93015,10540.97339,10779.30283,11252.57549
Africa,DZA,Algeria,Average Hours Worked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190.546448,2216.404723,2209.848684,2233.051558,2247.882758,2243.92448,2336.749324,2233.482569,2230.036058,2212.761314,2195.486372,2212.467195,2176.261993,2170.527585,2159.672778,2070.604635,2100.674699,2174.555371
Africa,DZA,Algeria,Total Hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17621.23755,19656.85907,18991.97659,20421.2565,21291.94549,21844.60481,22430.45676,22714.51772,24057.62899,22656.46309,23258.98262,23994.20673,23629.85272,23877.97396,24060.76358,21826.18837,22643.80873,24469.34848
Africa,DZA,Algeria,Population,8892.718,9073.304,9279.525,9531.71,9611.093,9841.851,10057.133,10270.856,10484.925,10696.396,10909.294,11121.645,11000.948,11272.878,11612.858,11963.091,12339.14,12760.499,13146.267,13528.304,13931.846,14335.388,14760.787,15197.724,15653.2,16140.252,16634.618,17152.804,17685.768,18229.932,18806.061,19407.036,20033.753,20680.982,21340.546,22008.45,22642.538,23254.956,23880.766,24496.305,25089.032,25722.00235,26386.96538,27045.42869,27646.75197,28207.67356,28721.49754,29200.1477,29649.00728,30083.24398,30514.66903,30952.15957,31396.79622,31846.68166,32320.20156,32785.04055,33286.41485,33865.506,34480.04087,35126.13816,35805.13447,36506.25932,37214.93565,37930.36468,38650.34133,39372.20934,40087.30372,40787.43758,41470.73649,42135.23739,42779.11366,43401.25081,44001.01937
Africa,DZA,Algeria,Output per Employed Person,23383.96605,23355.76907,24146.82856,24317.09461,25847.17222,26322.74112,28647.73538,31637.47704,32536.60996,38235.67766,40588.39611,35560.68599,28800.67243,36140.32059,37567.96546,39590.25466,37194.87654,40058.55398,44244.21191,48016.35822,52300.76341,46445.18871,55863.93731,57624.62418,59289.4686,59644.79917,60181.68883,65776.34513,62385.60362,62659.72965,61225.20119,60404.70379,60465.77414,60814.61255,62043.99581,63157.65564,60538.65355,58270.9644,55184.38753,55238.28073,52916.36483,50589.65888,50198.95356,48422.5024,46943.91556,46221.32745,46365.6859,45344.08598,46241.16951,47061.25973,47573.54869,46349.05444,46795.29508,51785.23918,46293.94581,47527.21817,43834.28224,46760.42479,44981.36645,44137.2364,44497.71326,46436.87993,45319.86521,43919.94012,48033.30696,48141.41137,48532.08259,49152.61206,49095.85042,48867.03988,49117.61649,49472.57921,48813.56368
Africa,DZA,Algeria,Output per Hour Worked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6965124,19.77720124,21.16001205,20.14345181,19.635026,19.83030786,19.87242682,20.29112107,19.69472196,21.70740543,21.92744714,21.9357298,22.58579722,22.6193165,22.62705738,23.72138826,23.55080453,22.44760669
Africa,DZA,Algeria,Per Capita Income,4585.969727,4526.158022,4623.338563,4599.422947,4828.755173,4856.423253,5218.792834,5689.908127,5775.995276,6698.845979,7016.706819,6046.684811,4815.537212,5940.240793,6068.34588,6282.718955,5797.094784,6129.804858,6644.812365,7075.146545,7558.11119,6719.48742,7896.205003,7918.745041,8157.285025,8474.585216,8764.535773,9270.087086,10143.68472,10726.77736,10591.15975,10521.65564,10845.95018,11050.77341,11301.64073,11529.38796,11093.04572,10725.50275,10225.84587,10305.18451,9902.427996,9542.842797,9451.196742,9027.265195,8751.441798,8907.474608,9080.549606,9029.949529,9346.799581,9506.663431,9728.401233,9878.622894,10284.09185,10868.80707,11170.08079,11661.39778,11679.1688,11866.66024,11930.22357,11901.9034,12098.41116,12210.1694,12384.89389,12491.53068,12724.67495,12953.55584,13129.60431,13084.88823,13023.72459,12920.87839,12102.81009,12287.20148,12483.30876
Africa,DZA,Algeria,GDP growth,0,0.7,4.468718967,2.186311787,5.860465116,2.987697715,9.812286689,11.34421134,3.628750872,18.31649832,6.829823563,-12.14704315,-21.22498484,26.40492687,5.237515225,6.655092593,-4.829083017,9.350057013,11.67883212,9.570494865,10.01278228,-8.520526723,20.99915326,3.254023793,6.099627245,7.122325136,6.589147287,9.062937063,12.82380097,9.00204592,1.856100104,2.518427518,6.411024566,5.18018018,5.531763026,5.207981062,-1.012536162,-0.698165287,-2.092871158,3.373413494,-1.583198708,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.1,3.2,3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,0.8,-4.9,3,3
Africa,DZA,Algeria,Employment growth,0,0.821573201,1.046283131,1.470812665,-0.406167293,1.127034868,0.900135954,0.822183082,0.765022255,0.681300651,0.637401068,0.273954591,-2.735132834,0.733663472,1.238315447,1.207099291,1.299995874,1.53291785,1.113622121,0.962679663,1.000689456,3.012743013,0.598503741,0.099157164,3.120356612,6.484149856,5.638249887,-0.213492741,18.9559264,8.525179856,4.242625124,3.910969793,6.303549572,4.576856649,3.440682631,3.352847259,3.269824923,3.166292695,3.383276945,3.27255727,2.735229759,3.343982961,2.390766694,1.489533011,2.221340738,5.471478463,3.476821192,3.377777778,3.061049011,1.401635241,2.682244529,5.721153846,4.592996817,-3.129623188,16.67185314,3.152026336,10.25063959,-3.095806379,6.408441092,3.57572444,2.77660473,-1.397021058,5.948536306,6.076696165,-5.088987764,3.467135462,2.369265622,0.119870908,1.317001289,1.271976679,-5.385158632,2.260981302,4.390568409
